  cell  ,E,W,N,S
"(1, 1)",1,0,0,1
"(2, 1)",0,0,1,1
"(3, 1)",1,0,1,0
"(4, 1)",1,0,0,1
"(5, 1)",1,0,1,0
"(6, 1)",1,0,0,1
"(7, 1)",0,0,1,1
"(8, 1)",1,0,1,1
"(9, 1)",0,0,1,1
"(10, 1)",1,0,1,1
"(11, 1)",0,0,1,1
"(12, 1)",1,0,1,1
"(13, 1)",1,0,1,1
"(14, 1)",1,0,1,1
"(15, 1)",1,0,1,1
"(16, 1)",1,0,1,1
"(17, 1)",0,0,1,1
"(18, 1)",0,0,1,1
"(19, 1)",1,0,1,1
"(20, 1)",1,0,1,0
"(21, 1)",1,0,0,1
"(22, 1)",0,0,1,1
"(23, 1)",1,0,1,1
"(24, 1)",1,0,1,1
"(25, 1)",0,0,1,1
"(26, 1)",0,0,1,1
"(27, 1)",0,0,1,1
"(28, 1)",1,0,1,0
"(29, 1)",0,0,0,1
"(30, 1)",1,0,1,1
"(31, 1)",1,0,1,0
"(32, 1)",1,0,0,1
"(33, 1)",1,0,1,1
"(34, 1)",0,0,1,1
"(35, 1)",1,0,1,1
"(36, 1)",0,0,1,1
"(37, 1)",1,0,1,1
"(38, 1)",0,0,1,1
"(39, 1)",1,0,1,0
"(40, 1)",1,0,0,1
"(41, 1)",1,0,1,1
"(42, 1)",1,0,1,1
"(43, 1)",1,0,1,0
"(44, 1)",1,0,0,1
"(45, 1)",0,0,1,1
"(46, 1)",0,0,1,1
"(47, 1)",1,0,1,1
"(48, 1)",1,0,1,1
"(49, 1)",1,0,1,0
"(50, 1)",1,0,0,1
"(51, 1)",0,0,1,1
"(52, 1)",1,0,1,1
"(53, 1)",0,0,1,1
"(54, 1)",0,0,1,1
"(55, 1)",1,0,1,0
"(56, 1)",1,0,0,1
"(57, 1)",1,0,1,1
"(58, 1)",0,0,1,1
"(59, 1)",0,0,1,1
"(60, 1)",1,0,1,1
"(61, 1)",0,0,1,1
"(62, 1)",1,0,1,1
"(63, 1)",0,0,1,1
"(64, 1)",0,0,1,1
"(65, 1)",0,0,1,1
"(66, 1)",1,0,1,0
"(67, 1)",1,0,0,1
"(68, 1)",0,0,1,1
"(69, 1)",0,0,1,1
"(70, 1)",1,0,1,0
"(1, 2)",1,1,0,1
"(2, 2)",0,0,1,0
"(3, 2)",0,1,0,1
"(4, 2)",0,1,1,0
"(5, 2)",0,1,0,1
"(6, 2)",1,1,1,0
"(7, 2)",1,0,0,0
"(8, 2)",0,1,0,1
"(9, 2)",1,0,1,1
"(10, 2)",1,1,1,1
"(11, 2)",0,0,1,1
"(12, 2)",0,1,1,0
"(13, 2)",1,1,0,0
"(14, 2)",1,1,0,0
"(15, 2)",1,1,0,0
"(16, 2)",0,1,0,1
"(17, 2)",0,0,1,1
"(18, 2)",1,0,1,1
"(19, 2)",0,1,1,0
"(20, 2)",1,1,0,0
"(21, 2)",0,1,0,1
"(22, 2)",1,0,1,0
"(23, 2)",1,1,0,0
"(24, 2)",1,1,0,0
"(25, 2)",1,0,0,1
"(26, 2)",0,0,1,1
"(27, 2)",1,0,1,0
"(28, 2)",0,1,0,1
"(29, 2)",1,0,1,0
"(30, 2)",0,1,0,0
"(31, 2)",0,1,0,1
"(32, 2)",1,1,1,0
"(33, 2)",0,1,0,1
